[rosmaster.main][INFO] 2023-04-22 14:37:34,346: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-04-22 14:37:34,347: Starting ROS Master Node
[xmlrpc][INFO] 2023-04-22 14:37:34,350: XML-RPC server binding to 127.0.0.1:11311
[rosmaster.master][INFO] 2023-04-22 14:37:34,351: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2023-04-22 14:37:34,351: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2023-04-22 14:37:34,352: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-04-22 14:37:34,405: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:34,411: +PARAM [/roslaunch/uris/host_localhost__33021] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:34,599: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:34,599: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:34,626: +SERVICE [/rosout/get_loggers] /rosout http://localhost:43019/
[rosmaster.master][INFO] 2023-04-22 14:37:34,630: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:43019/
[rosmaster.master][INFO] 2023-04-22 14:37:34,637: +PUB [/rosout_agg] /rosout http://localhost:43019/
[rosmaster.master][INFO] 2023-04-22 14:37:34,656: +SUB [/rosout] /rosout http://localhost:43019/
[rosmaster.master][INFO] 2023-04-22 14:37:44,513: +PARAM [/roslaunch/uris/host_localhost__45627] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:44,525: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:44,526: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:44,526: +PARAM [/turtlebot3_core/port] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:44,527: +PARAM [/turtlebot3_core/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 14:37:45,737: +PUB [/rosout] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:45,750: +SERVICE [/turtlebot3_core/get_loggers] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:45,756: +SERVICE [/turtlebot3_core/set_logger_level] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:45,771: publisherUpdate[/rosout] -> http://localhost:43019/ ['http://localhost:44877/']
[rosmaster.master][INFO] 2023-04-22 14:37:45,781: publisherUpdate[/rosout] -> http://localhost:43019/ ['http://localhost:44877/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2023-04-22 14:37:45,792: +PUB [/diagnostics] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:47,921: +PUB [/sensor_state] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:47,945: +PUB [/firmware_version] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:48,021: +PUB [/imu] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:48,032: +PUB [/cmd_vel_rc100] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:48,051: +PUB [/odom] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:48,061: +PUB [/joint_states] /turtlebot3_core http://localhost:44877/
[rosmaster.master][INFO] 2023-04-22 14:37:48,072: +PUB [/battery_state] /turtlebot3_core http://localhost:44877/
