

1682133432.622780666  Node Startup
1682133436.133856058 INFO [serial_node.py:86(<module>) [topics: /rosout] Connecting to /dev/ttyACM0 at 115200 baud
1682133438.273314952 INFO [SerialClient.py:520(setPublishSize) [topics: /diagnostics, /rosout, /sensor_state] Note: publish buffer size is 1024 bytes
1682133438.276433944 INFO [SerialClient.py:536(setupPublisher) [topics: /diagnostics, /rosout, /sensor_state] Setup publisher on sensor_state [turtlebot3_msgs/SensorState]
1682133438.294651031 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on firmware_version [turtlebot3_msgs/VersionInfo]
1682133438.359075069 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /diagnostics, /imu, /rosout, /sensor_state] Setup publisher on imu [sensor_msgs/Imu]
1682133438.368879079 INFO [SerialClient.py:536(setupPublisher) [topics: /cmd_vel_rc100, /imu, /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on cmd_vel_rc100 [geometry_msgs/Twist]
1682133438.387931108 INFO [SerialClient.py:536(setupPublisher) [topics: /cmd_vel_rc100, /imu, /odom, /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on odom [nav_msgs/Odometry]
1682133438.397739887 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state] Setup publisher on joint_states [sensor_msgs/JointState]
1682133438.407689094 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state] Setup publisher on battery_state [sensor_msgs/BatteryState]
1682133438.417577028 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state, /magnetic_field] Setup publisher on magnetic_field [sensor_msgs/MagneticField]
1682133440.951102018 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state, /magnetic_field] Setup publisher on /tf [tf/tfMessage]
1682133440.965833902 INFO [SerialClient.py:525(setSubscribeSize) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Note: subscribe buffer size is 1024 bytes
1682133440.967569112 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on cmd_vel [geometry_msgs/Twist]
1682133440.982702970 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on sound [turtlebot3_msgs/Sound]
1682133440.998343944 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on motor_power [std_msgs/Bool]
1682133441.013220071 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on reset [std_msgs/Empty]
1682133441.333837032 ERROR [SerialClient.py:652(handleParameterRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Parameter ~tf_prefix does not exist
1682133442.331069946 WARN [SerialClient.py:689(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Failed to get param: timeout expired
1682133442.337241888 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on Odometry [word/odom]
1682133442.343442916 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on IMU [word/imu_link]
1682133442.349268913 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on MagneticField [word/mag_link]
1682133442.355357885 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on JointState [word/base_link]
1682133442.367765903 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] --------------------------
1682133442.373756885 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Connected to OpenCR board!
1682133442.379689931 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] This core(v1.2.2) is compatible with TB3 Burger
1682133442.385520935 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] --------------------------
