[rosmaster.main][INFO] 2023-04-28 13:04:50,855: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-04-28 13:04:50,856: Starting ROS Master Node
[xmlrpc][INFO] 2023-04-28 13:04:50,858: XML-RPC server binding to 127.0.0.1:11311
[rosmaster.master][INFO] 2023-04-28 13:04:50,860: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2023-04-28 13:04:50,860: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2023-04-28 13:04:50,861: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-04-28 13:04:50,885: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:04:50,892: +PARAM [/roslaunch/uris/host_localhost__42343] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:04:51,119: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:04:51,120: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:04:51,417: +SERVICE [/rosout/get_loggers] /rosout http://localhost:44243/
[rosmaster.master][INFO] 2023-04-28 13:04:51,421: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:44243/
[rosmaster.master][INFO] 2023-04-28 13:04:51,431: +PUB [/rosout_agg] /rosout http://localhost:44243/
[rosmaster.master][INFO] 2023-04-28 13:04:51,456: +SUB [/rosout] /rosout http://localhost:44243/
[rosmaster.master][INFO] 2023-04-28 13:06:14,186: +PARAM [/roslaunch/uris/host_localhost__33539] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:06:14,199: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:06:14,200: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:06:14,200: +PARAM [/turtlebot3_core/port] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:06:14,201: +PARAM [/turtlebot3_core/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2023-04-28 13:06:15,485: +PUB [/rosout] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:15,498: +SERVICE [/turtlebot3_core/get_loggers] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:15,504: +SERVICE [/turtlebot3_core/set_logger_level] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:15,516: publisherUpdate[/rosout] -> http://localhost:44243/ ['http://localhost:42929/']
[rosmaster.master][INFO] 2023-04-28 13:06:15,525: publisherUpdate[/rosout] -> http://localhost:44243/ ['http://localhost:42929/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2023-04-28 13:06:15,540: +PUB [/diagnostics] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,687: +PUB [/sensor_state] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,711: +PUB [/firmware_version] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,811: +PUB [/imu] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,822: +PUB [/cmd_vel_rc100] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,872: +PUB [/odom] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,882: +PUB [/joint_states] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,894: +PUB [/battery_state] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:17,904: +PUB [/magnetic_field] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:21,215: +PUB [/tf] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:21,234: +SUB [/cmd_vel] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:21,251: +SUB [/sound] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:21,268: +SUB [/motor_power] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:21,283: +SUB [/reset] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,208: -SUB [/sound] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,208: -SUB [/motor_power] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,209: -SUB [/cmd_vel] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,209: -SUB [/reset] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,210: -PUB [/firmware_version] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,210: -PUB [/battery_state] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,211: -PUB [/joint_states] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,211: -PUB [/rosout] /turtlebot3_core http://localhost:42929/
[rosmaster.master][INFO] 2023-04-28 13:06:24,212: -PUB [/tf] /turtlebot3_core http://localhost:42929/
