[rosmaster.main][INFO] 2023-04-22 09:45:03,371: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-04-22 09:45:03,372: Starting ROS Master Node
[xmlrpc][INFO] 2023-04-22 09:45:03,375: XML-RPC server binding to 127.0.0.1:11311
[rosmaster.master][INFO] 2023-04-22 09:45:03,377: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2023-04-22 09:45:03,376: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2023-04-22 09:45:03,378: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-04-22 09:45:03,436: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 09:45:03,442: +PARAM [/roslaunch/uris/host_localhost__45451] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 09:45:03,631: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 09:45:03,632: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-04-22 09:45:03,919: +SERVICE [/rosout/get_loggers] /rosout http://localhost:35195/
[rosmaster.master][INFO] 2023-04-22 09:45:03,922: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:35195/
[rosmaster.master][INFO] 2023-04-22 09:45:03,929: +PUB [/rosout_agg] /rosout http://localhost:35195/
[rosmaster.master][INFO] 2023-04-22 09:45:03,948: +SUB [/rosout] /rosout http://localhost:35195/
[rosmaster.master][INFO] 2023-04-22 09:45:19,040: -PUB [/rosout_agg] /rosout http://localhost:35195/
[rosmaster.master][INFO] 2023-04-22 09:45:19,044: -SUB [/rosout] /rosout http://localhost:35195/
[rosmaster.master][INFO] 2023-04-22 09:45:19,048: -SERVICE [/rosout/get_loggers] /rosout rosrpc://localhost:60311
[rosmaster.master][INFO] 2023-04-22 09:45:19,051: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://localhost:60311
[rosmaster.main][INFO] 2023-04-22 09:45:19,169: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-04-22 09:45:19,170: stopping master...
[rospy.core][INFO] 2023-04-22 09:45:19,171: signal_shutdown [atexit]
