[rosmaster.main][INFO] 2023-05-08 20:03:18,305: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-05-08 20:03:18,306: Starting ROS Master Node
[xmlrpc][INFO] 2023-05-08 20:03:18,309: XML-RPC server binding to 127.0.0.1:11311
[rosmaster.master][INFO] 2023-05-08 20:03:18,310: Master initialized: port[11311], uri[http://localhost:11311/]
[xmlrpc][INFO] 2023-05-08 20:03:18,311: Started XML-RPC server [http://localhost:11311/]
[xmlrpc][INFO] 2023-05-08 20:03:18,311: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-05-08 20:03:18,398: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:18,405: +PARAM [/roslaunch/uris/host_localhost__45345] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:18,619: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:18,619: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:18,898: +SERVICE [/rosout/get_loggers] /rosout http://localhost:37631/
[rosmaster.master][INFO] 2023-05-08 20:03:18,903: +SERVICE [/rosout/set_logger_level] /rosout http://localhost:37631/
[rosmaster.master][INFO] 2023-05-08 20:03:18,911: +PUB [/rosout_agg] /rosout http://localhost:37631/
[rosmaster.master][INFO] 2023-05-08 20:03:18,932: +SUB [/rosout] /rosout http://localhost:37631/
[rosmaster.master][INFO] 2023-05-08 20:03:26,503: +PARAM [/roslaunch/uris/host_localhost__35737] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:26,516: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:26,517: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:26,517: +PARAM [/turtlebot3_core/port] by /roslaunch
[rosmaster.master][INFO] 2023-05-08 20:03:26,518: +PARAM [/turtlebot3_core/tf_prefix] by /roslaunch
