

1682599996.171473051  Node Startup
1682600038.098484039 INFO [serial_node.py:86(<module>) [topics: /rosout] Connecting to /dev/ttyACM0 at 115200 baud
1682600040.249517917 INFO [SerialClient.py:520(setPublishSize) [topics: /diagnostics, /rosout, /sensor_state] Note: publish buffer size is 1024 bytes
1682600040.253174066 INFO [SerialClient.py:536(setupPublisher) [topics: /diagnostics, /rosout, /sensor_state] Setup publisher on sensor_state [turtlebot3_msgs/SensorState]
1682600040.272859096 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on firmware_version [turtlebot3_msgs/VersionInfo]
1682600040.733992099 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /diagnostics, /imu, /rosout, /sensor_state] Setup publisher on imu [sensor_msgs/Imu]
1682600040.755486011 INFO [SerialClient.py:536(setupPublisher) [topics: /cmd_vel_rc100, /imu, /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on cmd_vel_rc100 [geometry_msgs/Twist]
1682600040.924628019 INFO [SerialClient.py:536(setupPublisher) [topics: /cmd_vel_rc100, /imu, /odom, /firmware_version, /diagnostics, /rosout, /sensor_state] Setup publisher on odom [nav_msgs/Odometry]
1682600040.946774005 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state] Setup publisher on joint_states [sensor_msgs/JointState]
1682600040.966916084 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state] Setup publisher on battery_state [sensor_msgs/BatteryState]
1682600040.986780881 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state, /magnetic_field] Setup publisher on magnetic_field [sensor_msgs/MagneticField]
1682600047.549571990 INFO [SerialClient.py:536(setupPublisher) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /sensor_state, /magnetic_field] Setup publisher on /tf [tf/tfMessage]
1682600047.565704107 INFO [SerialClient.py:525(setSubscribeSize) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Note: subscribe buffer size is 1024 bytes
1682600047.567826032 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /tf, /cmd_vel_rc100, /imu, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on cmd_vel [geometry_msgs/Twist]
1682600047.585005044 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /battery_state, /joint_states, /rosout, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on sound [turtlebot3_msgs/Sound]
1682600047.601051092 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on motor_power [std_msgs/Bool]
1682600047.618100881 INFO [SerialClient.py:549(setupSubscriber) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup subscriber on reset [std_msgs/Empty]
1682600047.631932020 WARN [SerialClient.py:689(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Failed to get param: timeout expired
1682600047.635694026 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on Odometry [odom]
1682600047.639688014 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on IMU [imu_link]
1682600047.643349885 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on MagneticField [mag_link]
1682600047.647283077 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Setup TF on JointState [base_link]
1682600047.655059099 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] --------------------------
1682600047.658823013 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Connected to OpenCR board!
1682600047.662518978 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] This core(v1.2.2) is compatible with TB3 Burger
1682600047.666122913 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] --------------------------
1682600047.670001029 INFO [SerialClient.py:687(handleLoggingRequest) [topics: /firmware_version, /rosout, /battery_state, /joint_states, /motor_power, /imu, /tf, /cmd_vel_rc100, /sound, /odom, /reset, /diagnostics, /cmd_vel, /sensor_state, /magnetic_field] Start Calibration of Gyro
